反应速度有点慢，还能接受。但是摄像头像素太拉胯了，还没苹果一千多的像素好，相机有时拍照会出现卡顿现象。,系统属性-反应速度-中性,摄像头属性-像素-差,硬件-相机-差,,
除了电话铃声其他铃声声音都小，暂时没有其他问题。,硬件-声音-差,,,,
用着暂时还行吧，反正不玩游戏。但是这一亿像素怎么还不如4800万呢？？,摄像头属性-像素-差,,,,
手机收到了，整体来说还是不错的，就是画质有点模糊，耗电太快。,屏幕属性-画质-差,电池属性-耗电-差,,,
外观还行，就是像素是个鬼，可能是我没用好，反正是不好照不清楚。,外观-外观-中性,摄像头属性-像素-差,,,
拍照效果勉强接受，色系偏红，发冷，镜头突出，待机尚可。,摄像头属性-拍照效果-中性,硬件-镜头-差,电池属性-待机-中性,,
外形还行，运行速度也算可以，拍照效果挺失望的，拍照效果还不如我第一台千元以下的红米,外观-外形-中性,系统属性-运行速度-差,摄像头属性-拍照效果-差,,
处理器确实是最大的短板，开着游戏多个应用切屏会卡，玩游戏想要较好体验的同学不考虑入手。,硬件-处理器-差,,,,
性价比不高，款式也不喜欢，手机分辨率数据低，实际显示还不如千元机。,价格-性价比-差,外观-款式-差,屏幕属性-分辨率-差,屏幕属性-显示-中性,
屏幕清晰度和照相太差了，充电也一般，音质也差，整体感觉一般。,硬件属性-屏幕清晰度-差,电池属性-充电-差,硬件-音质-差,,
系统运行不流畅，电池容量也不大，拍照不清晰！物流可以说是极其差。,系统属性-系统运行-差,电池属性-电池容量-差,硬件-拍照-差,服务-物流-差,
外观还行吧，颜色也还行。但是这个相机真是太差了，说是一亿像素，可是照的非常糊，相同拍照环境，还不如两年前买的同价位手机照的清晰。,外观-外观-中性,外观属性-颜色-中性,硬件-相机-差,摄像头属性-像素-差,
手机屏幕不灵敏，大家不要买,硬件-屏幕-差,,,,
不好，不好，拍照难看，充电慢，退货退了半个月才通过。,硬件-拍照-差,电池属性-充电-差,,,
手机充电发烫，像素也不好，差，差，差。,电池属性-充电发烫-差,摄像头属性-像素-差,,,
观看视频的人物有幻影，屏幕显示不清晰，音质不好,屏幕属性-屏幕显示-差,硬件-音质-差,,,
用了没两周，运行就总是卡顿。,系统属性-运行-差,,,,
才买了两天就降价，价格保护还申请不了，差评,价格-降价-差,,,,
太难用了，运行太卡，屏幕分辩率低。,系统属性-运行-差,硬件-屏幕-差,屏幕属性-分辨率-差,,
耗电太快，不能长时间储存电量。,电池属性-耗电-差,,,,
手机系统特别卡，电池也不耐用。,软件-系统-差,硬件-电池-差,,,
这个手机运行大慢慢慢慢了，有的时候连声音按键按完后，屏幕上都要几十秒才能跳出来，人都快要疯了，用过最垃圾的一台手机。,系统属性-运行-差,硬件-屏幕-差,,,
系统反应慢，喇叭声音嘶哑，像素极差。,系统属性-系统反应-差,硬件-喇叭声音-差,摄像头属性-像素-差,,
头一次网购，像素很低，不值得购买，系统太慢，不建议购买。,摄像头属性-像素-差,软件-系统-差,,,
用了几天，运行太卡了，系统反应慢，感觉是翻新机。,系统属性-运行-差,系统属性-系统反应-差,,,
720p分辨率太差了，参数上还没有写出来。,屏幕属性-分辨率-差,,,,
oppo手机有好几台了，这一个刚到手，体验非常差，信号不好 ，语音输入经常翻译不过来 。,网络与连接-信号-差,功能-语音输入-差,,,
系统卡的一塌糊涂，点一个软件半天打不开，千万不要上当，这是我买过最垃圾的一部手机，拍照也不清楚，太垃圾了，真不知道哪里来的那么多好评,软件-系统-差,硬件-拍照-差,,,
系统太卡了，一点都不好用，反应迟钝，反应太慢了，不是一般的慢。,软件-系统-差,系统属性-反应-差,,,
手机像素很糊，刚买价格就降了，找客服差价也不给补。,摄像头属性-像素-差,价格-价格-差,服务-客服-差,,
拍照效果太差了，就跟看电视流畅清晰度一样糊，运行速度非常卡。,摄像头属性-拍照效果-差,系统属性-运行速度-差,,,
用了几天才来评论的，像素极差，更严重的是声音有问题，打电话拨通后经常听不到对方声音，要重新拨通，或者直接就听不到通话铃声,摄像头属性-像素-差,硬件-声音-差,,,
用到第10天就坏了，屏幕一直闪屏，连解屏都解不开，确实让我很意外，最差劲的一次购物体验,硬件-屏幕-差,屏幕属性-触屏-差,,,
手机像素太差劲了，拍照模糊的不得了，系统用起来还卡的很。,摄像头属性-像素-差,硬件-拍照-差,软件-系统-差,,
系统反应迟钝，屏幕有时候没反应，经常死机，没发票。,系统属性-系统反应-差,硬件-屏幕-差,,,
分辨率果然如大家说的不行啊，全是颗粒感。买来就是追剧的，下超清的看上去只能勉强是高清。,屏幕属性-分辨率-差,屏幕属性-颗粒感-差,,,
充电真的慢，5分钟充一个电，这也就算了，耗电也太快了吧，3到4分钟一个电，这还怎么玩。,电池属性-充电-差,电池属性-耗电-差,,,
手机性价比超低，我觉得声音非常小，屏幕不清楚，分辨率太低。,价格-性价比-差,硬件-声音-差,硬件-屏幕-差,屏幕属性-分辨率-差,
指纹解锁不是很灵敏，但是运行还算顺畅。,功能-指纹解锁-差,系统属性-运行-差,,,
屏幕分辨率太低了，看电视刷朋友圈不清晰，有很强的颗粒感，照相也模糊，运行起来倒是不太卡。,硬件-屏幕-差,屏幕属性-分辨率-差,屏幕属性-颗粒感-差,硬件-照相-差,系统属性-运行-中性
充电慢，5V1A的充电器要充4个多小时才能充满电，性价比不高。,电池属性-充电-差,价格-性价比-差,,,
差评，首先充电太慢；其次，买时1258元，过了几天直接降价到988元，申清退差价，还说过了7天不管！心塞哪！,电池属性-充电-差,价格-降价-差,,,
分辨率不好，很强的颗粒感，不清晰，价格其实也不便宜。,屏幕属性-分辨率-差,屏幕属性-颗粒感-差,价格-价格-差,,
就是分辨率太差劲了，很模糊。,屏幕属性-分辨率-差,,,,
屏幕模糊，灵敏度很差，不停地探出让你下载的窗口，总之是垃圾中的垃圾。没法看书，没法玩游戏，也没法看到画片。因为总是有页面跳出来！！,硬件-屏幕-差,屏幕属性-灵敏度-差,,,
电池太垃圾，用半天就没电了，还有运行卡顿，自动关机，价钱也不便宜，第一次用华为，说实话，我也想支持国产，但是华为太让我伤心了！,硬件-电池-差,系统属性-运行-差,价格-价钱-差,,
快递太慢，包装也不好，试用了一下，屏幕分辨率太差，像素也差。,服务-快递-差,服务-包装-差,硬件-屏幕-差,屏幕属性-分辨率-差,摄像头属性-像素-差
分辨率太差，包装也不到位，配货速度倒是还行。,屏幕属性-分辨率-差,服务-包装-差,服务-配货速度-中性,,
最失望的一次购物，手机真不咋滴，触屏经常卡死，没反应，后悔。,屏幕属性-触屏-差,,,,
屏幕老是失灵，系统可能有问题，经常收不到短信，经常自动重启。,硬件-屏幕-差,软件-系统-差,,,
电池电量不耐用，通话信号不怎么好！,硬件-电池-差,电池属性-电量-差,网络与连接-通话信号-差,,
电池掉的特别快，使用不了很久背面就很烫，系统非常不好用。,硬件-电池-差,软件-系统-差,,,
像素真的是渣，还不如我破手机，真是受不了。,摄像头属性-像素-差,,,,
真心一般，机身长宽比例不协调，两边的黑宽边真心设计的不咋地,外观-机身-差,外观属性-长宽比例-差,外观属性-设计-差,,
看视频的分辨率太低，看的不舒服。WIFI连接总是很慢，和其他终端相比差远了。,屏幕属性-分辨率-差,网络与连接-WIFI连接-差,,,
